internal_sku_reference;SKU_concat;link
ACVRS-1848;Case Keyboard Mouse para Tablet Galaxy S6;https://articulo.mercadolibre.cl/MLC-1443490882
ACVRS-1848;Case Keyboard Mouse para Tablet Galaxy S6;https://articulo.mercadolibre.com.co/MCO-2084610306
ACVRS-1848;Case Keyboard Mouse para Tablet Galaxy S6;https://articulo.mercadolibre.com.mx/MLM-2548278572
ACVRS-1848;Case Keyboard Mouse para Tablet Galaxy S6;https://produto.mercadolivre.com.br/MLB-2784119322
